Type,Name,Metric,Computed_Mean,Computed_Std,Reported_Mean,Reported_Std,Status
Model,DiT-Base,MAE,5.12,0.59,5.12,0.59,PASS
Model,DiT-Base,RMSE,7.7,0.53,7.7,0.53,PASS
Model,DiT-Base,R2,0.2,0.08,0.2,0.08,PASS
Model,DiT-Base,MAPE,25.42,4.01,25.42,4.01,PASS
Model,DiT-Base,Acc_2yr,31.9,7.88,31.9,7.88,PASS
Model,DiT-Base,Acc_5yr,66.36,4.82,66.36,4.82,PASS
Model,DiT-Base,Max_Error,31.35,7.98,31.35,7.98,PASS
Model,DiT-Base,Min_Error,0.03,0.03,0.03,0.03,PASS
Model,DiT-Base,Median_Error,3.24,0.71,3.24,0.71,PASS
Model,DiT-Large,MAE,5.92,0.93,5.92,0.93,PASS
Model,DiT-Large,RMSE,8.24,0.57,8.24,0.57,PASS
Model,DiT-Large,R2,0.09,0.07,0.09,0.07,PASS
Model,DiT-Large,MAPE,30.45,6.65,30.45,6.65,PASS
Model,DiT-Large,Acc_2yr,21.7,9.31,21.7,9.31,PASS
Model,DiT-Large,Acc_5yr,52.38,20.99,52.38,20.99,PASS
Model,DiT-Large,Max_Error,33.49,8.38,33.49,8.38,PASS
Model,DiT-Large,Min_Error,0.05,0.05,0.05,0.05,PASS
Model,DiT-Large,Median_Error,4.77,1.53,4.77,1.53,PASS
Model,DiT-Base (RVL-CDIP),MAE,5.01,0.53,5.01,0.53,PASS
Model,DiT-Base (RVL-CDIP),RMSE,7.74,0.77,7.74,0.77,PASS
Model,DiT-Base (RVL-CDIP),R2,0.19,0.11,0.19,0.11,PASS
Model,DiT-Base (RVL-CDIP),MAPE,23.85,1.31,23.85,1.31,PASS
Model,DiT-Base (RVL-CDIP),Acc_2yr,31.31,2.83,31.31,2.83,PASS
Model,DiT-Base (RVL-CDIP),Acc_5yr,69.29,6.43,69.29,6.43,PASS
Model,DiT-Base (RVL-CDIP),Max_Error,31.8,7.3,31.8,7.3,PASS
Model,DiT-Base (RVL-CDIP),Min_Error,0.03,0.02,0.03,0.02,PASS
Model,DiT-Base (RVL-CDIP),Median_Error,3.26,0.3,3.26,0.3,PASS
Model,DiT-Large (RVL-CDIP),MAE,5.32,0.53,5.32,0.53,PASS
Model,DiT-Large (RVL-CDIP),RMSE,7.87,0.62,7.87,0.62,PASS
Model,DiT-Large (RVL-CDIP),R2,0.16,0.12,0.16,0.12,PASS
Model,DiT-Large (RVL-CDIP),MAPE,25.99,2.71,25.99,2.71,PASS
Model,DiT-Large (RVL-CDIP),Acc_2yr,21.58,11.97,21.58,11.97,PASS
Model,DiT-Large (RVL-CDIP),Acc_5yr,67.89,6.81,67.89,6.81,PASS
Model,DiT-Large (RVL-CDIP),Max_Error,32.94,8.89,32.94,8.89,PASS
Model,DiT-Large (RVL-CDIP),Min_Error,0.06,0.08,0.06,0.08,PASS
Model,DiT-Large (RVL-CDIP),Median_Error,3.66,0.69,3.66,0.69,PASS
