[microsoft__dit-base | Fold 1 | Frozen 1/15] MAE 9.308
[microsoft__dit-base | Fold 1 | Frozen 2/15] MAE 8.871
[microsoft__dit-base | Fold 1 | Frozen 3/15] MAE 9.068
[microsoft__dit-base | Fold 1 | Frozen 4/15] MAE 9.029
[microsoft__dit-base | Fold 1 | Frozen 5/15] MAE 9.037
[microsoft__dit-base | Fold 1 | Frozen 6/15] MAE 8.803
[microsoft__dit-base | Fold 1 | Frozen 7/15] MAE 8.935
[microsoft__dit-base | Fold 1 | Frozen 8/15] MAE 8.781
[microsoft__dit-base | Fold 1 | Frozen 9/15] MAE 9.032
[microsoft__dit-base | Fold 1 | Frozen 10/15] MAE 8.760
[microsoft__dit-base | Fold 1 | Frozen 11/15] MAE 8.842
[microsoft__dit-base | Fold 1 | Frozen 12/15] MAE 9.080
[microsoft__dit-base | Fold 1 | Frozen 13/15] MAE 8.860
[microsoft__dit-base | Fold 1 | Frozen 14/15] MAE 8.906
[microsoft__dit-base | Fold 1 | Frozen 15/15] MAE 8.949
[microsoft__dit-base] Unfreezing backbone …
[microsoft__dit-base | Fold 1 | FT 1/30] MAE 9.083
[microsoft__dit-base | Fold 1 | FT 2/30] MAE 8.588
[microsoft__dit-base | Fold 1 | FT 3/30] MAE 8.515
[microsoft__dit-base | Fold 1 | FT 4/30] MAE 8.754
[microsoft__dit-base | Fold 1 | FT 5/30] MAE 8.293
[microsoft__dit-base | Fold 1 | FT 6/30] MAE 8.311
[microsoft__dit-base | Fold 1 | FT 7/30] MAE 8.044
[microsoft__dit-base | Fold 1 | FT 8/30] MAE 8.118
[microsoft__dit-base | Fold 1 | FT 9/30] MAE 8.198
[microsoft__dit-base | Fold 1 | FT 10/30] MAE 9.449
[microsoft__dit-base | Fold 1 | FT 11/30] MAE 9.210
[microsoft__dit-base | Fold 1 | FT 12/30] MAE 8.705
[microsoft__dit-base | Fold 1 | FT 13/30] MAE 8.393
[microsoft__dit-base | Fold 1 | FT 14/30] MAE 8.562
[microsoft__dit-base | Fold 1 | FT 15/30] MAE 9.146
[microsoft__dit-base | Fold 1 | FT 16/30] MAE 9.051
[microsoft__dit-base | Fold 1 | FT 17/30] MAE 10.476
[microsoft__dit-base | Fold 1 | FT 18/30] MAE 10.439
[microsoft__dit-base | Fold 1 | FT 19/30] MAE 8.372
[microsoft__dit-base | Fold 1 | FT 20/30] MAE 9.941
